communityname,state,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctUrban,medIncome,PctPopUnderPov,PopDens,LemasPctOfficDrugUn,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
SpanishForkcity,UT,11272,3.46,18.12,29.7,13.6,8.67,0.0,29023,7.55,1432.6,0.0,0.0,28.93,14.47,65.09,455.66,3131.78,86.79,7.23,108.49,3681.47
AuburnHillscity,MI,17076,2.65,18.14,40.65,22.24,5.61,100.0,34825,7.38,992.3,0.0,0.0,,105.32,505.56,990.05,3739.01,468.69,26.33,,5224.08
Douglascity,GA,10464,2.74,17.06,27.81,14.74,12.8,0.0,19038,26.24,873.5,0.0,25.61,25.61,162.17,1510.75,3687.27,8415.84,529.19,34.14,1724.14,12666.44
Germantownvillage,WI,13658,2.77,13.37,27.32,11.96,6.8,100.0,43486,2.3,383.0,0.0,0.0,24.45,30.56,6.11,207.81,2249.25,55.01,61.12,61.12,2573.19
Irmotown,SC,11280,3.05,12.73,26.38,9.84,2.33,100.0,42281,2.34,2775.6,0.0,0.0,15.59,54.58,109.15,522.38,1910.18,109.15,0,179.32,2541.71
Mitchellcity,SD,13798,2.43,14.19,25.73,13.34,15.79,0.0,20146,14.51,1418.4,0.0,0.0,78.1,7.1,113.6,951.37,3081.29,134.9,28.4,198.79,4195.95
AppleValleycity,MN,34598,3.1,15.67,26.78,11.31,2.29,100.0,49981,3.49,1925.8,0.0,0.0,,14.94,72.21,537.82,2377.87,114.54,42.33,,3072.56
Roseburgcity,OR,17032,2.52,12.74,23.93,11.1,15.37,0.0,23745,14.7,2209.7,0.0,5.57,66.79,166.97,83.49,1263.43,5771.69,328.38,83.49,322.81,7446.99
Crestwoodcity,MO,11234,2.49,10.05,19.89,9.15,17.44,100.0,40926,3.36,3400.1,0.0,0.0,8.88,62.16,53.28,301.93,5328.12,168.72,35.52,124.32,5834.3
HasbrouckHeightsborough,NJ,11488,2.63,10.82,22.63,10.84,15.9,100.0,44672,2.51,7345.3,0.0,0.0,8.49,67.91,8.49,543.25,2096.6,492.32,8.49,84.88,3140.65
LaGrandecity,OR,11766,2.54,18.43,30.06,17.77,12.97,0.0,21318,18.98,2831.1,0.0,15.47,54.14,23.2,77.34,719.26,2583.14,154.68,23.2,170.15,3480.28
Kaukaunacity,WI,11982,2.75,13.1,26.42,11.07,12.1,100.0,30743,7.67,2456.7,0.0,0.0,0,16.66,58.3,466.43,2115.61,74.96,0,74.96,2657
Bellevuecity,WA,86874,2.43,12.34,26.4,12.55,9.53,100.0,43800,5.58,3175.7,6.11,2.34,37.37,86.42,96.93,748.6,4370.17,325.84,47.88,223.06,5492.49
RiverFallscity,WI,10610,3.1,28.03,46.96,34.52,7.05,0.0,30535,14.69,2529.6,0.0,0.0,0,0,103.33,223.89,5485.23,232.5,25.83,103.33,5967.45
Milwaukiecity,OR,18692,2.37,11.87,24.54,10.91,13.44,100.0,29693,8.35,3789.9,0.0,4.81,52.95,115.53,72.21,789.49,2719.88,645.07,24.07,245.51,4178.5
Clemsoncity,SC,11096,2.4,26.67,47.49,36.51,11.11,0.0,22265,28.65,1503.5,0.0,0.0,44.87,26.92,287.18,1067.94,3257.65,224.36,0,358.97,4549.94
Marlboroughcity,MA,31813,2.62,11.5,29.31,13.27,9.73,100.0,41315,5.65,1456.1,0.0,0.0,8.97,2.99,493.14,248.06,1285.15,200.25,2.99,505.1,1736.45
Greenbeltcity,MD,21096,2.26,13.15,38.38,20.21,5.86,100.0,38956,9.61,3426.9,0.0,4.79,62.32,215.73,268.47,484.2,3648.31,958.82,,551.32,
Stantoncity,CA,30491,2.96,13.75,31.95,15.34,8.54,100.0,33367,13.62,9422.4,0.0,13.21,29.71,412.68,541.43,2099.7,3420.27,1224.83,112.25,997.03,6857.05
Florencetownship,NJ,10266,2.72,12.44,25.11,11.29,11.76,85.47,37764,6.77,1020.1,0.0,0.0,9.52,95.17,190.35,513.94,1399.07,295.04,9.52,295.04,2217.57
Harrisonburgcity,VA,30707,2.98,32.51,49.78,38.78,9.14,0.0,25312,21.46,1687.6,0.0,2.98,20.83,50.59,77.38,494.03,3612.99,130.95,26.78,151.78,4264.75
Trumbulltown,CT,32016,2.95,12.42,21.68,10.88,14.1,100.0,60634,1.98,1325.9,0.0,0.0,6.15,40,18.46,476.91,3012.22,846.13,0,64.61,4335.25
BatonRougecity,LA,219531,2.63,18.18,32.79,19.12,10.39,100.0,21898,26.17,2865.6,3.38,32.31,77.28,814.75,2054.34,3293.5,7927.45,1749.14,68.99,2978.69,13039.07
RollingMeadowscity,IL,22591,2.74,13.15,29.36,14.25,7.36,100.0,45764,3.26,4137.5,0.0,0.0,,26.11,152.31,574.41,3024.37,230.64,13.05,,3842.47
Watertowncity,SD,17592,2.5,14.1,25.74,12.41,14.54,0.0,20606,13.44,1286.7,0.0,0.0,49.3,21.91,87.64,520.38,3357.8,125.99,10.96,158.85,4015.12
Springfieldcity,TN,11227,2.65,13.53,26.26,12.63,14.44,0.0,21645,19.55,1574.2,0.0,7.02,49.15,154.47,1179.61,856.62,5582.08,154.47,0,1390.25,6593.18
Marquettecity,MI,21977,2.77,21.41,38.15,25.17,10.49,0.0,24365,16.57,1859.9,0.0,0.0,,13.44,107.53,246.43,2921.28,116.49,8.96,,3293.16
Miamitownship,OH,28199,2.95,14.67,25.42,11.7,7.0,82.6,42530,4.3,819.5,0.0,4.32,51.82,17.27,60.46,427.52,2465.78,73.41,30.23,133.87,2996.93
CentralFallscity,RI,17637,2.65,13.35,29.43,14.07,12.79,100.0,18617,22.33,14073.6,0.0,26.48,52.97,158.91,1244.79,1416.94,2105.54,1516.26,0,1483.15,5038.73
Reedleycity,CA,15791,3.42,17.55,32.3,17.0,10.11,0.0,24128,22.42,3912.5,0.0,11.79,47.15,82.51,583.49,860.49,3618.79,719.04,17.68,724.94,5216.01
HotSpringscity,AR,32462,2.24,11.19,20.87,10.19,22.68,0.0,15708,24.92,1086.8,0.0,13.85,69.26,429.43,360.17,3349.59,7081.51,637.23,41.56,872.72,11109.88
MapleShadetownship,NJ,19211,2.27,9.95,28.47,12.23,14.77,100.0,32955,2.77,4818.2,0.0,0.0,15.26,45.77,239.02,818.76,2064.69,986.57,81.37,300.04,3951.38
Huntsvillecity,TX,27925,3.56,24.38,45.9,31.62,6.02,0.0,17876,30.0,1285.9,0.0,23.7,64.32,165.88,490.86,819.23,2880.84,226.81,3.39,744.75,3930.26
Vidorcity,TX,10935,2.78,15.97,26.96,13.31,10.42,0.0,24568,15.12,999.5,0.0,17.29,0,60.51,190.16,648.28,3379.72,242.03,25.93,267.96,4295.96
Marshallcity,MN,12023,2.71,20.81,35.24,22.76,11.49,0.0,25392,13.02,1582.1,0.0,0.0,,24.38,146.29,560.79,2462.61,154.42,16.25,,3194.08
Hobbscity,NM,29115,2.84,15.72,27.22,12.54,9.76,0.0,22807,24.8,1487.3,0.0,13.22,62.77,99.11,1143.12,2104.53,5223.34,185.01,9.91,1318.22,7522.8
SanMarinocity,CA,12959,3.01,16.08,22.09,11.96,13.98,100.0,100077,3.88,3322.8,0.0,0.0,0,125.22,73.66,743.96,1112.26,110.49,29.46,198.88,1996.17
Auburncity,ME,24309,2.55,13.27,25.93,12.62,13.12,97.28,27493,10.91,392.5,0.0,0.0,12.83,34.21,25.66,496.11,2365.07,119.75,12.83,72.71,2993.76
Salemcity,VA,23756,2.59,15.34,26.17,14.72,14.86,100.0,29047,5.16,1575.7,0.0,4.09,8.18,36.79,53.15,347.49,2481.5,94.03,36.79,102.2,2959.81
FortMadisoncity,IA,11618,2.54,12.23,23.85,10.93,15.48,0.0,22098,12.84,1211.1,0.0,0.0,24.08,8.03,56.19,634.18,3475.96,136.47,,88.3,
Inglewoodcity,CA,109602,3.04,15.49,32.09,15.48,6.13,100.0,29881,16.47,11537.1,5.83,40.67,61.46,1201.21,775.5,1410.91,2034.56,2069.81,54.23,2078.85,5569.51
Crawfordsvillecity,IN,13584,2.47,15.84,29.06,16.21,15.03,0.0,23156,14.9,1733.5,0.0,6.95,6.95,20.84,27.79,1347.97,4280.16,152.86,41.69,62.53,5822.68
Nilescity,OH,21128,2.5,13.09,25.19,12.81,14.55,100.0,25547,12.66,2404.8,0.0,0.0,4.64,60.38,362.25,594.46,3250.98,385.47,0,427.27,4230.91
SouthPasadenacity,CA,23936,2.34,11.69,27.02,11.88,10.61,100.0,43043,5.0,6731.2,0.0,0.0,16.02,228.33,104.15,853.23,1622.34,969.4,188.27,348.5,3633.23
Kinstoncity,NC,25295,2.53,14.85,24.79,11.78,15.11,0.0,18253,25.16,1859.4,0.0,19.48,77.9,393.41,845.25,3061.58,7011.26,416.78,81.8,1336.03,10571.42
GreenBaycity,WI,96466,2.51,13.75,28.94,13.74,11.22,100.0,26770,13.39,2124.3,7.81,1.93,59.88,44.43,329.35,622.01,3252.97,230.84,8.69,435.6,4114.51
Ellensburgcity,WA,12361,2.58,31.67,51.82,41.12,9.18,0.0,14456,33.88,2414.3,0.0,0.0,7.29,14.58,174.93,670.55,3943.15,189.5,7.29,196.79,4810.5
Tulsacity,OK,367302,2.36,13.38,27.1,13.31,11.4,100.0,25708,14.99,1931.9,4.56,14.32,89.88,303.06,897.52,1907.98,3391.21,1179.1,66.02,1304.78,6544.31
Piscatawaytownship,NJ,47089,3.36,22.54,38.09,24.57,6.31,100.0,50451,2.88,2419.6,0.0,0.0,16.31,89.68,207.9,758.22,1634.67,232.36,6.11,313.89,2631.36
Everettcity,MA,35701,2.46,11.46,28.31,13.17,14.76,100.0,30786,9.6,10186.3,0.0,2.91,26.22,163.15,1485.8,973.05,2059.72,1220.68,0,1678.08,4253.46
Hudsontown,MA,17233,2.71,12.47,27.19,12.51,9.72,95.07,45191,3.61,1445.6,0.0,0.0,11.19,0,139.93,319.04,934.74,100.75,0,151.13,1354.53
PortOrangecity,FL,35317,2.36,10.4,20.43,9.47,21.3,100.0,26472,8.22,1694.0,0.0,0.0,7.48,19.93,156.98,448.51,1951.01,151.99,2.49,184.39,2554.01
Herndontown,VA,16139,2.96,13.34,30.13,12.97,2.87,100.0,53840,3.19,3684.7,0.0,0.0,16.65,55.5,55.5,233.1,3085.8,116.55,11.1,127.65,3446.55
Gillettecity,WY,17635,2.83,15.27,27.34,11.48,3.95,0.0,35532,9.69,1314.9,0.0,0.0,21.14,15.86,338.3,380.59,4461.36,142.72,95.15,375.3,5079.82
Manchestercity,NH,99567,2.47,12.69,29.69,14.17,12.17,100.0,31911,8.99,2910.9,4.24,5.09,33.62,142.65,41.77,1301.14,3602.83,456.47,28.53,223.14,5388.97
BethelParkborough,PA,33823,2.66,11.26,21.33,9.85,12.53,100.0,41149,3.81,2793.2,0.0,0.0,8.74,23.29,26.21,163.06,856.07,218.39,5.82,58.24,1243.34
Aberdeentown,MD,13087,2.62,13.56,26.55,12.2,9.37,0.0,30043,10.66,2389.5,0.0,0.0,88.53,118.05,826.32,1047.66,3961.93,228.71,29.51,1032.91,5267.82
Amesburytown,MA,14997,2.72,12.23,25.71,11.64,10.12,4.89,37889,6.25,1166.8,0.0,0.0,0,0,566.68,528.9,1372.62,270.75,0,566.68,2172.27
PoplarBluffcity,MO,16996,2.4,13.71,24.36,11.91,17.6,0.0,14868,26.82,1584.9,0.0,11.44,97.27,108.71,240.3,2328.64,5978.94,343.29,108.71,457.72,8759.58
Uxbridgetown,MA,10415,2.76,12.77,25.62,11.64,11.44,60.25,40059,5.87,340.2,0.0,0.0,92.17,9.22,543.78,350.23,617.51,36.87,0,645.16,1004.61
Westminstercity,MD,13068,2.52,17.39,35.2,19.89,12.01,0.0,31298,8.51,2283.7,0.0,20.53,27.37,129.99,307.88,1046.8,5110.84,253.15,88.94,485.77,6499.73
Northboroughtown,MA,11929,2.94,13.26,23.66,11.1,6.89,80.58,57963,2.82,621.2,0.0,0.0,0,8.05,201.17,297.74,925.4,104.61,8.05,209.22,1335.8
Springdalecity,OH,10621,2.51,12.67,25.89,12.0,11.19,100.0,38128,4.01,2081.4,0.0,0.0,18.73,149.83,112.37,739.77,9888.57,383.93,9.36,280.93,11021.63
Garnertown,NC,14967,2.6,13.56,26.03,11.61,7.51,100.0,36999,4.63,1269.7,0.0,0.0,11.48,80.38,189.46,941.55,3444.71,206.68,45.93,281.32,4638.88
PalosVerdesEstatescity,CA,13512,2.73,13.06,18.79,9.98,13.7,100.0,101320,2.25,2713.3,0.0,0.0,14.27,0,85.63,642.21,963.32,85.63,14.27,99.9,1705.44
Williamsportcity,PA,31933,2.54,16.85,29.84,16.92,13.49,100.0,20290,21.12,3468.4,0.0,6.27,25.07,150.44,134.77,1375.92,4629.22,206.86,43.88,316.55,6255.88
Poquosoncity,VA,11005,2.92,16.11,25.58,12.21,7.49,100.0,43236,2.84,684.6,0.0,0.0,8.47,8.47,338.95,161,1271.08,42.37,16.95,355.9,1491.4
Muskegocity,WI,16813,3.02,14.58,25.15,11.33,7.6,100.0,46119,2.66,519.7,0.0,0.0,4.97,0,24.84,278.18,884.21,49.67,4.97,29.8,1217.03
Goldencity,CO,13116,2.44,17.19,32.43,18.85,9.06,100.0,29099,11.52,1685.0,0.0,0.0,0,20.93,265.16,774.54,3147.02,334.94,83.73,286.09,4340.24
Coppellcity,TX,16881,2.81,9.97,24.67,7.77,1.66,0.0,58815,2.51,1106.5,0.0,8.04,0,4.02,32.16,767.84,1419.1,40.2,8.04,44.22,2235.18
GrossePointeWoodscity,MI,17715,2.7,11.3,19.48,9.53,16.5,100.0,55657,1.74,5241.1,0.0,0.0,,56.67,5.67,119.01,1666.19,175.69,0,,1960.9
Pomonacity,CA,131723,3.61,16.1,32.83,16.31,6.19,100.0,32132,18.43,5570.2,4.07,27.66,56.02,688.14,855.5,1578.22,2573.43,1272.54,269.03,1627.33,5693.22
Manitowoccity,WI,32520,2.47,11.81,23.19,10.69,17.02,0.0,24202,10.65,2177.5,0.0,3.0,23.99,9,74.98,611.84,4072.94,272.93,18,110.97,4975.71
Roswellcity,NM,44654,2.76,16.07,26.56,13.25,14.38,0.0,21870,21.62,1478.6,0.0,18.64,82.84,64.2,650.33,1692.11,4753.23,182.26,49.71,816.02,6677.3
GreenOaktownship,MI,11604,2.98,17.5,27.7,14.62,7.7,0.0,47421,2.87,322.8,0.0,0.0,,8.39,125.82,637.48,1501.43,142.59,25.16,,2306.66
Eastontown,MA,19807,3.08,18.64,30.08,17.91,7.33,74.01,50647,4.0,672.2,0.0,0.0,0,52.69,86.22,718.49,1096.9,426.31,0,138.91,2241.7
Hermistoncity,OR,10040,2.6,14.75,26.11,12.58,11.8,0.0,20674,19.76,1715.7,0.0,0.0,35.55,26.66,115.52,897.54,4674.31,355.46,8.89,177.73,5936.19
Carrborotown,NC,11553,2.05,18.2,53.03,32.36,4.06,100.0,19799,29.43,3156.6,0.0,14.28,14.28,221.33,335.57,1235.18,5062.12,271.31,0,585.46,6568.61
ElkGroveVillagevillage,IL,33429,2.79,12.43,26.14,11.32,6.63,100.0,48863,2.72,3001.9,0.0,0.0,,28.8,129.59,480.94,2802.1,259.19,48.96,,3591.18
LittleRockcity,AR,175795,2.42,13.54,27.86,13.17,11.13,100.0,26889,14.62,1649.7,4.0,37.61,118.9,628.25,2470.95,3205.38,7911.69,1150.86,96.23,3255.71,12364.16
Thomasvillecity,GA,17457,2.6,14.28,24.79,11.38,14.79,0.0,20349,25.98,1162.3,0.0,15.98,26.63,218.39,330.24,2375.63,5182.7,383.51,53.27,591.24,7995.1
GrandJunctioncity,CO,29034,2.27,14.12,25.56,14.13,17.05,100.0,19042,21.65,1887.3,0.0,12.29,33.8,67.59,463.93,1376.43,6541.11,273.44,58.38,577.61,8249.35
Beltoncity,TX,12476,2.96,17.63,30.86,16.31,11.5,100.0,18549,25.98,1118.3,0.0,0.0,49.28,70.4,168.97,591.38,2224.73,147.85,7.04,288.65,2970.99
Gallupcity,NM,19154,3.09,14.97,27.32,11.92,6.81,0.0,26622,22.96,1675.5,0.0,24.58,118.01,236.01,1229.23,1470.15,9794.47,653.95,59,1607.83,11977.58
NiagaraFallscity,NY,61840,2.38,12.62,24.51,12.09,17.36,100.0,20641,18.64,4248.1,6.45,4.97,64.56,342.68,324.47,1768.04,4853.82,816.14,,736.68,
Lakewoodtownship,NJ,45048,2.75,12.49,24.83,11.68,17.97,97.87,29211,16.09,1751.5,6.38,6.47,49.58,271.59,254.35,1558.42,3610.46,448.34,84.06,581.98,5701.29
Menashacity,WI,14638,2.46,12.22,28.04,12.11,11.76,100.0,27264,9.92,3283.8,0.0,0.0,19.13,0,25.51,491.01,4004.59,89.27,6.38,44.64,4591.25
BrownDeervillage,WI,12236,2.53,11.41,23.47,10.65,11.92,100.0,44495,4.54,2682.6,0.0,0.0,8.34,58.37,75.04,408.57,3251.9,325.19,0,141.75,3985.66
NorthCharlestoncity,SC,70218,2.99,17.41,41.2,23.19,5.31,100.0,21824,21.73,1354.9,2.9,13.26,144.36,633.41,1473.06,2191.91,8060.57,1222.64,16.2,2264.09,11491.32
NorthMiamicity,FL,49998,2.48,11.61,26.48,12.0,13.09,100.0,24898,15.48,5728.5,3.92,5.52,51.55,937.02,824.73,2925.2,5283.41,2623.29,23.93,1818.82,10855.84
Waukeshacity,WI,56958,2.68,14.7,30.02,14.24,8.45,100.0,36192,6.13,3175.3,0.0,1.65,14.85,31.34,90.72,418.98,2668.95,178.15,28.04,138.56,3294.13
GroveCitycity,OH,19661,2.66,14.55,27.07,13.04,9.32,100.0,34350,5.82,1879.5,0.0,0.0,30.73,70.23,21.95,346.76,2686.33,223.86,0,122.9,3256.96
Smithfieldtown,RI,19163,3.12,20.81,31.28,21.25,11.18,83.02,42523,4.34,695.7,0.0,0.0,20.24,15.18,40.47,273.18,860.02,217.53,15.18,75.88,1365.91
Bluefieldcity,WV,12756,2.44,12.94,21.61,10.53,19.79,0.0,21319,19.92,1461.5,0.0,7.92,7.92,110.81,197.88,783.6,1970.87,102.9,0,324.52,2857.37
Tarborotown,NC,11037,2.6,13.24,23.46,10.88,14.05,0.0,24375,13.39,1175.6,0.0,0.0,18.2,245.68,1000.91,1401.27,4476.8,54.6,63.69,1264.79,5996.36
Pennsaukentownship,NJ,34738,2.8,12.08,24.73,11.21,14.34,100.0,36097,5.46,3181.5,0.0,5.57,8.36,362.1,183.83,1626.65,2203.22,1590.44,19.5,559.86,5439.81
Perrysburgcity,OH,12551,2.61,14.0,23.66,10.56,10.49,100.0,44277,2.12,2599.8,0.0,0.0,0,7.22,14.44,332.18,2202.48,108.32,0,21.66,2642.98
Cullmancity,AL,13367,2.38,13.18,22.89,11.93,19.47,0.0,21114,17.25,825.7,0.0,0.0,16.46,38.41,334.69,625.48,2935.37,175.57,,389.55,
Veronatownship,NJ,13597,2.47,9.71,20.6,9.8,17.98,100.0,55248,1.73,4770.2,0.0,0.0,7.24,57.89,123.01,311.14,1403.76,246.02,0,188.13,1960.93
Fultoncity,NY,12929,2.48,13.91,26.73,13.15,14.94,0.0,22955,16.3,3318.2,0.0,30.81,7.7,84.72,46.21,962.72,4351.51,115.53,30.81,169.44,5460.57
Jacksoncity,MS,196637,2.74,16.18,29.7,15.17,10.48,100.0,23270,22.68,1741.2,4.0,42.54,88.66,771.31,522.23,3623.87,5946.51,2077.66,74.31,1424.74,11722.35
Azusacity,CA,41333,3.27,16.8,35.99,18.99,6.46,100.0,31889,14.28,4433.0,0.0,9.24,39.25,233.2,376.36,1304.55,2038.79,796.58,27.71,658.05,4167.63
Barringtontown,RI,15849,2.83,12.8,20.91,10.13,12.62,100.0,53058,1.8,1817.1,0.0,0.0,0,31.69,50.7,196.45,1666.67,31.69,12.67,82.38,1907.48
UpperChichestertownship,PA,15004,2.8,13.96,27.11,13.08,10.46,100.0,40216,4.15,2156.5,0.0,0.0,26.21,117.95,137.61,399.71,2077.19,478.34,19.66,281.76,2974.9
Homewoodcity,AL,22922,2.25,15.4,33.17,17.69,12.46,100.0,30516,6.66,3001.8,0.0,8.31,16.62,241.05,108.06,748.1,4596.65,727.32,,374.05,
Englewoodcity,NJ,24850,2.77,11.53,24.15,11.22,12.4,100.0,46758,8.42,4870.3,0.0,4.0,35.97,275.8,307.78,1291.07,2774,523.62,4,623.55,4592.69
Daytoncity,OH,182044,2.51,15.22,29.63,15.68,12.01,100.0,19779,26.53,3194.8,2.37,27.32,150.01,822.52,629.58,2399.53,5282.53,1638.91,144.99,1629.43,9465.95
SanLeandrocity,CA,68223,2.34,10.04,22.85,10.47,17.63,100.0,35681,4.98,5022.3,0.0,7.16,35.8,512.61,349.37,1218.52,4879.79,1010.9,41.52,904.94,7150.73
Simpsonvilletown,SC,11708,2.78,13.63,28.19,11.61,6.59,100.0,34990,4.04,2046.9,0.0,0.0,30.79,30.79,92.36,500.27,1685.52,100.05,0,153.93,2285.85
Tooelecity,UT,13887,2.87,17.18,27.67,12.28,10.05,0.0,29784,11.94,1079.2,0.0,6.61,19.83,6.61,165.23,753.47,3456.71,376.73,0,198.28,4586.91
CanonCitycity,CO,12687,2.51,11.8,21.53,9.88,20.52,0.0,18423,18.95,1554.0,0.0,0.0,76.68,41.82,104.56,1080.44,3373.76,181.24,6.97,223.06,4642.41
Summervilletown,SC,22519,2.78,13.68,29.77,13.52,7.7,100.0,31448,9.83,1558.2,0.0,4.43,57.59,181.64,456.32,1391.1,5511.25,420.88,0,699.98,7323.23
WestWhitelandtownship,PA,12403,2.7,12.24,27.88,11.74,6.77,97.55,50598,1.55,923.7,0.0,0.0,7.93,23.78,39.64,356.75,3234.5,436.02,15.86,71.35,4043.13
WhitePlainscity,NY,48718,2.51,10.76,24.85,11.54,13.51,100.0,44004,7.68,4794.1,1.0,0.0,14.09,169.08,183.17,412.64,4430.35,559.58,8.05,366.34,5410.63
DelCitycity,OK,23928,2.6,15.11,26.78,12.97,10.77,100.0,25550,14.87,3064.5,0.0,8.37,79.5,117.16,87.87,1196.75,3293.16,447.74,8.37,292.91,4946.02
ElkRivercity,MN,11143,2.99,15.21,29.18,12.99,6.09,0.0,37549,7.0,252.1,0.0,0.0,,15.1,83.08,725.02,2628.2,151.05,7.55,,3511.82
Ridgelandcity,MS,11714,2.08,9.8,37.64,14.54,5.19,100.0,31938,4.88,1049.6,0.0,7.02,21.07,154.55,70.25,758.69,4137.69,316.12,0,252.9,5212.5
Laurelcity,MD,19438,2.27,8.79,33.22,12.7,6.15,100.0,44002,3.5,5924.1,0.0,4.6,36.83,345.27,239.39,989.78,3526.38,731.98,,626.09,
Collingswoodborough,NJ,15289,2.39,12.02,26.53,12.24,14.34,100.0,33026,6.09,8070.6,0.0,0.0,0,187.16,221.82,1053.65,2807.43,942.74,13.86,408.98,4817.69
LosAltoscity,CA,26303,2.67,10.57,16.52,7.79,16.87,100.0,79579,1.23,3985.3,0.0,0.0,21.17,31.75,52.92,733.79,1171.24,63.5,38.81,105.84,2007.34
Owassocity,OK,11151,2.86,13.58,26.61,11.16,6.91,0.0,33000,8.57,1793.9,0.0,0.0,38.28,38.28,68.91,643.14,1906.44,206.72,45.94,145.47,2802.24
Milpitascity,CA,50686,3.6,13.26,29.39,13.21,4.59,100.0,55730,4.9,3556.4,0.0,0.0,32.02,110.3,185.03,725.88,2997.79,378.95,7.12,327.36,4109.74
Monroetown,CT,16896,3.11,14.03,24.16,11.82,7.42,58.3,59967,2.09,624.4,0.0,0.0,0,23.32,75.8,548.1,1072.89,99.13,17.49,99.13,1737.61
Middletowntownship,NJ,68183,3.01,14.45,24.87,12.42,10.6,99.52,54053,2.43,1600.5,0.0,0.0,7.01,18.22,43.45,323.8,1185.85,61.68,1.4,68.68,1572.73
SanRafaelcity,CA,48404,2.39,10.41,24.63,11.92,12.27,100.0,41922,8.08,2816.8,0.0,4.09,20.45,163.64,372.27,1047.27,3974.31,630,49.09,560.45,5700.67
ElPasocity,TX,515342,3.21,17.84,31.16,15.53,8.0,99.97,23460,25.32,2027.3,4.88,7.96,47.61,264.48,714.99,956.09,4988.01,939.66,78.11,1035.05,6961.87
Pembroketown,MA,14544,3.12,14.68,26.18,12.59,6.83,42.9,46932,4.11,642.6,0.0,0.0,12.93,25.86,265.11,459.1,1603.62,226.32,0,303.91,2289.04
Wheelingcity,WV,34882,2.32,12.56,21.79,11.29,19.51,100.0,21053,16.91,2440.7,0.0,2.93,35.21,164.32,331.57,1138.5,1634.39,258.22,29.34,534.04,3060.45
Northbridgetown,MA,13371,2.81,13.4,26.28,12.2,12.41,76.34,36634,5.86,750.7,0.0,0.0,21.53,7.18,646.04,380.45,1170.05,86.14,0,674.75,1636.64
Moultriecity,GA,14865,2.72,15.31,26.01,13.0,15.22,0.0,16574,34.5,1097.9,0.0,19.08,89.06,318.07,852.42,1914.76,6024.17,432.57,25.45,1278.63,8396.95
ElRenocity,OK,15414,2.89,13.12,24.56,11.15,12.7,0.0,22027,20.96,186.8,0.0,25.16,75.49,150.98,257.93,1157.52,2849.77,358.58,113.24,509.56,4479.11
Bergenfieldborough,NJ,24458,2.78,11.33,24.06,11.22,14.09,100.0,45713,3.34,8160.3,0.0,0.0,0,47.97,103.94,439.75,1247.3,99.94,4,151.91,1791
SpringGardentownship,PA,11207,2.72,18.69,26.72,17.82,18.33,96.05,37044,4.73,1627.4,0.0,0.0,8.77,52.65,8.77,394.84,2816.53,52.65,8.77,70.19,3272.79
LomaLindacity,CA,17400,2.89,11.63,30.68,14.01,11.27,100.0,33265,11.76,2402.0,0.0,5.39,10.77,161.55,172.32,1647.82,2837.91,1389.34,10.77,350.03,5885.84
Moscowcity,ID,18519,2.82,26.99,48.06,34.73,6.61,0.0,19977,23.4,3730.7,0.0,0.0,20.61,5.15,133.96,417.33,1787.83,87.59,20.61,159.72,2313.36
Hurstcity,TX,33574,2.63,13.51,26.06,12.5,8.28,100.0,37473,7.77,3283.8,0.0,5.57,100.23,175.39,579.08,1044.02,4963.95,556.81,19.49,860.27,6584.26
TerreHautecity,IN,57483,2.68,18.99,32.55,20.49,14.68,100.0,19118,20.43,2006.2,6.84,9.88,51.04,79.03,181.12,1738.76,4674.56,433.04,39.52,321.08,6885.88
Brawleycity,CA,18923,3.27,17.07,29.52,14.1,8.05,0.0,22365,24.31,3675.8,0.0,4.56,18.23,173.22,793.18,1992.07,3455.35,355.56,72.94,989.2,5875.92
Oregoncity,OH,18334,2.67,14.69,25.82,13.07,13.19,100.0,34704,7.67,606.1,0.0,0.0,38.13,185.23,179.78,730.01,4134.89,528.44,38.13,403.14,5431.47
Freeportcity,TX,11389,3.01,16.36,28.62,13.74,8.53,0.0,21483,24.2,959.0,0.0,0.0,8.11,89.26,494.97,1135.99,3334.96,681.6,48.69,592.34,5201.23
Edwardsvillecity,IL,14579,2.54,12.29,25.91,12.75,13.53,100.0,32733,9.0,1612.7,0.0,6.56,,45.95,157.54,577.66,2599.45,105.03,13.13,,3295.26
Penntownship,PA,15945,2.91,14.04,22.68,10.94,11.43,69.81,33219,3.75,507.3,0.0,0.0,42.17,42.17,16.87,497.64,2791.84,151.82,59.04,101.21,3500.34
LowerMorelandtownship,PA,11768,2.83,14.27,22.89,12.33,13.59,100.0,60925,2.33,1561.2,0.0,0.0,8.36,25.07,50.14,459.6,1311.94,325.9,8.36,83.56,2105.79
Manheimtownship,PA,28880,2.71,11.14,19.25,9.09,17.05,90.75,41450,2.42,1162.1,0.0,0.0,3.4,61.28,61.28,333.63,2505.62,146.39,10.21,125.96,2995.85
SanBernardinocity,CA,164164,3.01,14.78,30.37,14.56,9.0,100.0,25533,22.79,2876.8,3.86,44.9,70.63,848.7,2083.42,2595.38,4604.89,1968.99,78.85,3047.66,9248.11
